,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-01-01,16.83,89.96,27.155,46.69,31.15,180.23,66.03,102.72,55.48,99.92,79.41,69.75,778.01,481.6,1119,3342,4616.5,1016,3771,3866,5660,1201,90.48,610.5,73.07,455.5,2027,3367,1531,1197,1979.5,2976,2926.5,221,1563,13.82,15.25,1.2,13.54,12.69,5.73,1.13,23.7,104.6,5.31
2016-01-02,16.83,89.96,27.155,46.69,31.15,180.23,66.03,102.72,55.48,99.92,79.41,69.75,778.01,481.6,1119,3342,4616.5,1016,3771,3866,5660,1201,90.48,610.5,73.07,455.5,2027,3367,1531,1197,1979.5,2976,2926.5,221,1563,13.82,15.25,1.2,13.54,12.69,5.73,1.13,23.7,104.6,5.31
2016-01-03,16.83,89.96,27.155,46.69,31.15,180.23,66.03,102.72,55.48,99.92,79.41,69.75,778.01,481.6,1119,3342,4616.5,1016,3771,3866,5660,1201,90.48,610.5,73.07,455.5,2027,3367,1531,1197,1979.5,2976,2926.5,221,1563,13.82,15.25,1.2,13.54,12.69,5.73,1.13,23.7,104.6,5.31
2016-01-04,16.43,88.85,26.41,46.88,30.71,177.14,63.62,100.48,54.8,98.77,78.37,69.18,759.44,465.6,1080,3276,4478,990,3685.5,3806,5490,1157,85.27,596,71.37,443.7,1991,3211,1457.5,1170,1902.5,2865,2821,216,1518,13.52,14.35,1.15,13.25,12.56,5.8031,1.14,23.15,103,5.15
2016-01-05,16.43,89.61,26.29,47.4,30.74,174.09,63.73,100.9,55.05,99.45,78.62,69.5,761.53,471.8,1097,3250,4562,988.5,3709,3820,5595,1156,88.26,611,71.57,449.4,2003,3265,1476,1175,1939.5,2877,2850.5,219.7,1540,13.71,14.63,1.08,12.84,12.65,5.7,1.16,22.75,102.6,5.14
2016-01-06,16.08,86.07,26.01,45.35,30.25,169.84,62.81,100.39,54.05,99.48,77.86,67.7,759.33,465.6,1067,3193,4522.5,971,3728,3820,5550,1146,85.85,606.5,71,443.9,1965,3257,1432,1168,1846.5,2817,2818,219.15,1526,13.42,14.5,1,13.7,12.46,4.7,1.1,22.65,102.5,5.11
2016-01-07,15.5,83.02,25.41,44.06,28.97,164.62,60.27,99.22,52.17,97.57,77.18,66.19,741,451.2,1047,3112,4381,967,3664.5,3790,5410,1124,78.71,590,69.49,435.8,1962,3184,1386,1166,1784.5,2719,2792,218.2,1485,12.8,13.85,0.9315,13.48,11.74,4.3763,1.09,22.35,100.4,5
2016-01-08,15.2,82.13,24.78,43.29,28.45,163.94,58.92,98.16,52.33,97.21,75.97,65.08,730.91,449,1021,3033,4349,953,3631,3773,5375,1111,77.48,590.5,68.87,440.4,1992,3178,1376,1169,1739,2681,2778.5,223.05,1464,13.01,13.96,0.9059,13.46,11.57,4.1569,1.06,22.6,99.35,5.02
2016-01-09,15.2,82.13,24.78,43.29,28.45,163.94,58.92,98.16,52.33,97.21,75.97,65.08,730.91,449,1021,3033,4349,953,3631,3773,5375,1111,77.48,590.5,68.87,440.4,1992,3178,1376,1169,1739,2681,2778.5,223.05,1464,13.01,13.96,0.9059,13.46,11.57,4.1569,1.06,22.6,99.35,5.02
2016-01-10,15.2,82.13,24.78,43.29,28.45,163.94,58.92,98.16,52.33,97.21,75.97,65.08,730.91,449,1021,3033,4349,953,3631,3773,5375,1111,77.48,590.5,68.87,440.4,1992,3178,1376,1169,1739,2681,2778.5,223.05,1464,13.01,13.96,0.9059,13.46,11.57,4.1569,1.06,22.6,99.35,5.02
